"Source:","C:\Users\Kyle\Documents\KiCAD\MAX2769FT2232H\MAX2769FT2232H.sch"
"Date:","19/04/2021 06:03:07"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key"
"","","U7","74LVC1G74","MAX2769FT2232H:74LVC1G74","MAX2769FT2232H:SOT-833-1","https://assets.nexperia.com/documents/data-sheet/74LVC1G74.pdf","IC FF D-TYPE SNGL 1BIT 8XSON","1727-3558-1-ND"
"","","U8","74LVC1G04","MAX2769FT2232H:74LVC1G04","MAX2769FT2232H:SOT-353_SC-70-5","https://assets.nexperia.com/documents/data-sheet/74LVC1G04.pdf","IC INVERTER 1CH 1-INP 5TSSOP","1727-2871-1-ND"
"","","U9","74LVC374","MAX2769FT2232H:74LVC374","MAX2769FT2232H:TSSOP-20_4.4x6.5mm_P0.65mm","https://assets.nexperia.com/documents/data-sheet/74LVC374A.pdf","IC FF D-TYPE SNGL 8BIT 20TSSOP","1727-4034-1-ND"
"","","U10","74LVC374","MAX2769FT2232H:74LVC374","MAX2769FT2232H:TSSOP-20_4.4x6.5mm_P0.65mm","https://assets.nexperia.com/documents/data-sheet/74LVC374A.pdf","IC FF D-TYPE SNGL 8BIT 20TSSOP","1727-4034-1-ND"
"","","U11","74HC2G04","MAX2769FT2232H:74HC2G04","MAX2769FT2232H:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/74HC_HCT2G04.pdf","IC INVERTER 2CH 2-INP 6TSSOP","1727-6045-1-ND"
"","","X1","Taiten-16.368MHz","MAX2769FT2232H:Taiten-16.368MHz","MAX2769FT2232H:TXETCDSANF-16.368000","","XTAL OSC TCXO 16.3680MHZ SNWV","1664-1271-1-ND"
"","","X2","SIT2024BA-S8-33E-12.00000E","MAX2769FT2232H:SIT2024BA-S8-33E-12.00000E","MAX2769FT2232H:SIT2024BA-S8-33E-8.000000E","","MEMS OSC XO 12.0000MHZ LVCMOS LV","1473-SIT2024BA-S8-33E-12.000000G-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key"
